"written_rep_a"	"lex_entry_a"	"sense_a"	"trans"	"sense_b"	"lex_entry_b"	"written_rep_b"	"POS"
"quit"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/quit-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/quit_abandonar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/quit_abandonar-vblex-en-sense-abandonar_quit-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/abandonar_quit-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/abandonar-vblex-es"	"abandonar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"connection"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/connection-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/connection_acoplamiento-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/connection_acoplamiento-n-en-sense-acoplamiento_connection-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acoplamiento_connection-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acoplamiento-n-es"	"acoplamiento"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"agree"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/agree-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/agree_acordar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/agree_acordar-vblex-en-sense-acordar_agreeD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acordar_agreeD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acordar-vblex-es"	"acordar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"ornament"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/ornament-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ornament_adorno-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ornament_adorno-n-en-sense-adorno_ornamentD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/adorno_ornamentD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/adorno-n-es"	"adorno"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"affectionate"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/affectionate-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/affectionate_afectuosoD-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/affectionate_afectuosoD-adj-en-sense-afectuoso_affectionateD-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/afectuoso_affectionateD-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afectuoso-adj-es"	"afectuoso"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"upset"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/upset-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/upset_afligido-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/upset_afligido-adj-en-sense-afligido_upset-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/afligido_upset-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afligido-adj-es"	"afligido"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"supply"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/supply-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/supply_abastecimiento-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/supply_abastecimiento-n-en-sense-abastecimiento_supplyD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/abastecimiento_supplyD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/abastecimiento-n-es"	"abastecimiento"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"remember"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/remember-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/remember_acordar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/remember_acordar-vblex-en-sense-acordar_remember-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acordar_remember-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acordar-vblex-es"	"acordar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"curtail"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/curtail-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/curtail_acortar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/curtail_acortar-vblex-en-sense-acortar_curtail-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acortar_curtail-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acortar-vblex-es"	"acortar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"alto"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/alto-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alto_altoD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alto_altoD-n-en-sense-alto_alto-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alto_alto-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alto-n-es"	"alto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"height"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/height-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/height_alto-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/height_alto-n-en-sense-alto_heightD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alto_heightD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alto-n-es"	"alto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"tackle"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/tackle-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/tackle_abordar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/tackle_abordar-vblex-en-sense-abordar_takleD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/abordar_takleD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/abordar-vblex-es"	"abordar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
